Draft year,Round,Pick,Player,Position,College,Conference
2015,1,24,D. J. Humphries ,OT,Florida,SEC
2015,1,25,Shaq Thompson ,LB,Washington,Pac-12
2015,1,26,Breshad Perriman ,WR,UCF,The American
2015,1,27,Byron Jones ,CB,Connecticut,The American
2015,1,28,Laken Tomlinson ,G,Duke,ACC
2015,1,29,Phillip Dorsett ,WR,Miami (FL),ACC
2015,1,30,Damarious Randall ,S,Arizona State,Pac-12
2015,1,31,Stephone Anthony ,LB,Clemson,ACC
2015,1,32,Malcom Brown ,DT,Texas,Big 12
2016,1,1,Jared Goff ,QB,California,Pac-12
2016,1,2,Carson Wentz ,QB,North Dakota State,MVFC
2016,1,3,Joey Bosa ,DE,Ohio State,Big Ten
2016,1,4,Ezekiel Elliott ,RB,Ohio State,Big Ten
2016,1,5,Jalen Ramsey ,CB,Florida State,ACC
2016,1,6,Ronnie Stanley ,OT,Notre Dame,Ind. (FBS)
2016,1,7,DeForest Buckner ,DE,Oregon,Pac-12
2016,1,8,Jack Conklin ,OT,Michigan State,Big Ten
2016,1,9,Leonard Floyd ,LB,Georgia,SEC
2016,1,10,Eli Apple ,CB,Ohio State,Big Ten
2016,1,11,Vernon Hargreaves ,CB,Florida,SEC
2016,1,12,Sheldon Rankins ,DT,Louisville,ACC
2016,1,13,Laremy Tunsil ,OT,Ole Miss,SEC
2016,1,14,Karl Joseph ,S,West Virginia,Big 12
2016,1,15,Corey Coleman ,WR,Baylor,Big 12
2016,1,16,Taylor Decker ,OT,Ohio State,Big Ten
2016,1,17,Keanu Neal ,S,Florida,SEC
2016,1,18,Ryan Kelly ,C,Alabama,SEC
2016,1,19,Shaq Lawson ,DE,Clemson,ACC
2016,1,20,Darron Lee ,LB,Ohio State,Big Ten
2016,1,21,Will Fuller ,WR,Notre Dame,Ind. (FBS)
2016,1,22,Josh Doctson ,WR,TCU,Big 12
2016,1,23,Laquon Treadwell ,WR,Ole Miss,SEC
2016,1,24,William Jackson ,CB,Houston,The American
2016,1,25,Artie Burns ,CB,Miami (FL),ACC
2016,1,26,Paxton Lynch ,QB,Memphis,The American
2016,1,27,Kenny Clark ,DT,UCLA,Pac-12
